Name,Ratings,Reviews,Type,Location,Menu_price,PAX,Rooms,Amenities
Mauli Mangal Karyalay,,,Banquet Hall,Lonavala ,₹400per plate,150-200,,+3 more
Shatranj Wine & Dine,,1 review,Lawn & Banquet Hall,"Koregaon Park, Pune ",₹450per plate,100-800,,+2 more
Yashodhan Agri Tourism,,1 review,Lawn & Banquet Hall,"Kasba Peth, Pune ",₹500per plate,150-1000,13,+3 more
Royal Moments Banquet,5.0,1 review,Banquet Hall,"Hadapsar, Pune ",₹750per plate,250-500,2,+3 more
Geet Govind Lawns,5.0,1 review,Lawn & Banquet Hall,"Chinchwad, Pune ",₹350per plate,600-1400,,+2 more
Aamby Valley City,4.6,11 reviews,Hotel,Pune ,"₹6,500per plate",600-2000,300,+3 more
Subhadra Lawns Mangal Karyalay,,,Lawn & Banquet Hall,Pune ,₹400per plate,1000-2250,,+2 more
Omkar Mangal Karyalay,,1 review,Banquet Hall,"Alandi, Pimpri Chinchwad ",Price on Request,400-500,,+2 more
Silver Star Hall,,,Banquet Hall,Pune ,Price on Request,600-850,,+2 more
Meritas Adore Resort,,,Resort,Lonavala ,Price on Request,80-400,29,+3 more
Sahyadri Banquet Hall,,,Banquet Hall,Pune ,₹500per plate,300-500,2,+4 more
Vivekanand Hall,,,Banquet Hall,Pune ,₹250per plate,100-150,,+2 more
"Picaddle Resort, Lonavala",5.0,1 review,Lawn & Banquet Hall,Lonavala ,₹800per plate,90-700,,+2 more
Gangaas Banquet,,,Banquet Hall,"Pimpri, Pimpri Chinchwad ",₹550per plate,150-250,,+2 more
Nostravila,,,4 Star Resort,Lonavala ,"₹1,850per plate",450-500,32,+4 more
Spoon 29,,,Banquet Hall,"Wanowrie, Pune ",₹450per plate,65-100,,+2 more
Trinity Banquets and Events,,,Hotel,"Undri, Pune ",₹400per plate,300-500,70,+3 more
"Babar Banquet Hall, Kondhwa",,2 reviews,Banquet Hall & Lawn,"Kondhwa, Pune ",₹400per plate,1000-1500,,+2 more
Dhepe Wada,4.8,3 reviews,Banquet Hall,Pune ,₹400per plate,300-500,12,+3 more
Cafe Eastwood,,,Party Restaurant / Lounge,"Kothrud, Pune ",₹500per plate,70-100,,+2 more
Sure Stay by Best Western,,,Hotel,Lucknow ,"₹1,200per plate",250-300,30,+4 more
Akash Palace,,,Wedding Lawn,Lucknow ,₹300per plate,200-300,,+2 more
"Gurunanak Lawn, Lucknow",4.5,1 review,Lawn & Banquet Hall,Lucknow ,₹500per plate,40-2000,,+2 more
Crazy Balls Fine Dine & Banquets,,,Banquet Hall,"Gomti Nagar, Lucknow ",₹500per plate,400-1000,,+2 more
Pushpanjali Mandap,,,Banquet Hall,Lucknow ,₹300per plate,240-400,,+2 more
M. A. Palace,,,Banquet Hall,Lucknow ,₹450per plate,150-250,,+2 more
Hotel Shanti Grand,,,Banquet Hall,Lucknow ,₹600per plate,200-300,28,+3 more
R D Palace ( Banquet Hall & Lawn ),,,Lawn & Banquet Hall,Lucknow ,"₹1,90,000per function",100-2000,10,+4 more
Didi Alambagh,,,Banquet Hall,"Alambagh, Lucknow ",₹700per plate,180-300,11,+3 more
Legacy Lawn and Banquet,,,Banquet Hall & Lawn,Lucknow ,₹650per plate,200-800,,+2 more
Ekta Lawn,,,Banquet Hall & Lawn,Lucknow ,Price on Request,600-900,1,+3 more
Hotel Geeta Garden,,,Banquet Hall & Lawn,Lucknow ,₹900per plate,100-1100,20,+3 more
Batham Palace,,,Banquet Hall,"Rajajipuram, Lucknow ",₹300per plate,360-600,,+2 more
Bhundal Resort,,,Lawn & Banquet Hall,Lucknow ,₹700per plate,150-700,,+2 more
Vrindavan Lawn,,,Wedding Lawn,Lucknow ,₹700per plate,450-600,5,+3 more
Meraav Restaurant & Banquet,,,Banquet Hall,Lucknow ,₹300per plate,360-600,,+2 more
Manoram Lawn,,1 review,Wedding Lawn,"Nirala Nagar, Lucknow ",₹500per plate,350-500,,+2 more
Singh Paradise Club & Resort,,,Resort,Lucknow ,₹800per plate,1500-2000,22,+3 more
Grand Mandola Resorts,,,Hotel,Lucknow ,"₹1,200per plate",80-150,21,+3 more
Kumar Hotel & Banquet,,,Banquet Hall,"Alambagh, Lucknow ",₹500per plate,240-400,22,+3 more
Mango Ananta Express,,,Banquet Hall,"Adarsh Nagar, Jaipur ",₹550per plate,90-500,19,+3 more
Jai Jagdish Marriage Garden,,,Wedding Lawn,"Sitapura, Jaipur ",₹400per plate,2000-3000,,+2 more
Chhabra's Restaurant,,,Party Restaurant / Lounge,"Nirman Nagar, Jaipur ",Price on Request,60-100,,+2 more
Keshav Nagar Community Center,,,Lawn & Banquet Hall,"Civil Lines, Jaipur ",₹600per plate,150-400,,+3 more
K. S. Paradise Marriage Garden,,,Banquet Hall & Lawn,"Jagatpura, Jaipur ",₹350per plate,700-1000,,+2 more
Royal Palace Marriage Garden and Banquet Hall,,,Lawn & Banquet Hall,"Mansarovar, Jaipur ",₹600per plate,150-3000,8,+3 more
SS Paradise Lawn,,,Wedding Lawn,Jaipur ,Price on Request,1000-1200,,+2 more
The Eclectica,,,Banquet Hall & Lawn,Jaipur ,₹550per plate,90-150,,+1 more
"Medieval Forts, Kalwar, Jaipur",4.7,3 reviews,Fort / Palace Hotel,"Kalwar Road, Jaipur ","₹3,000per plate",30-100,20,+4 more
SM Villa,,,Banquet Hall & Lawn,Jaipur ,₹600per plate,300-500,23,+3 more
The Artists' Farm,,,Wedding Lawn,Jaipur ,"₹1,50,000per function",100-120,6,+4 more
Murli Guest House,,,Banquet Hall & Lawn,"Sanganer, Jaipur ",Price on Request,150-500,,+2 more
Park Prime,5.0,1 review,4 Star Hotel,Jaipur ,"₹1,000per plate",90-150,75,+3 more
Hotel Levishta,,,Lawn & Banquet Hall,Jaipur ,Price on Request,100-250,15,+3 more
The Haveli Ralawata,5.0,1 review,Hotel,"Mansarovar, Jaipur ",₹500per plate,350-1500,35,+3 more
Hotel Siddharsh Heritage,5.0,3 reviews,Banquet Hall,Jaipur ,₹700per plate,250-450,15,+3 more
Hotel Savoy,,,Hotel,Jaipur ,₹450per plate,60-100,34,+3 more
Shri Kishan Paradise,,,Lawn & Banquet Hall,"Muhana Mandi Road, Jaipur ","₹1,200per plate",120-2500,,+2 more
Bhanwar Singh Palace,5.0,9 reviews,Hotel,"Sanganer, Jaipur ",Price on Request,100-2500,155,+3 more
Om Marriage Garden,,,Lawn & Banquet Hall,"Sikar Road, Jaipur ",₹400per plate,100-1000,,+2 more
Riti Riwaj,5.0,1 review,Banquet Hall,"Rohini, Delhi NCR ",₹575per plate,400-800,,+2 more
Evergreen Garden,,2 reviews,Farmhouse With Banquet,"Faridabad, Faridabad ","₹1,400per plate",1000-1500,,+2 more
Legend Banquets,4.5,2 reviews,Banquet Hall,"Rohini, Delhi NCR ",₹750per plate,300-400,,+2 more
"The Blue Camps, Damdama",,,Wedding Lawn,Gurgaon ,"₹50,000per function",100-150,5,+4 more
Shudh Banquets - Karol Bagh,5.0,1 review,Banquet Hall,"Karol Bagh, Delhi NCR ",₹500per plate,60-125,,+2 more
Party Junction,4.5,4 reviews,Farmhouse,"Uttam Nagar, Delhi NCR ",₹650per plate,300-600,,+2 more
Effotel Hotel,5.0,1 review,Hotel,"Leisure Valley Sector 29, Gurgaon ",₹899per plate,150-250,50,+3 more
Hotel Green Inn,5.0,1 review,Farmhouse With Banquet,Faridabad ,"₹1,000per plate",100-600,8,+3 more
The Park Royal Banquet,5.0,1 review,Banquet Hall,"Rajouri Garden, Delhi NCR ","₹1,150per plate",100-500,,+2 more
Desha Farms,,,Farmhouse,"Bijwasan, Delhi NCR ","₹90,000per function",250-300,3,+4 more
Golden Suites Gurgaon | Inde Hotels & Resorts,,40 reviews,Hotel with Banquet & Lawn,"Gurgaon, Gurgaon ","₹2,200per plate",20-350,125,+5 more
Vrindavan Greens Garden,4.8,4 reviews,Farmhouse,"Ghaziabad, Ghaziabad ","₹1,600per plate",550-1200,,+2 more
Sai Leela Grand ,5.0,1 review,Banquet Hall & Lawn,"Badarpur, Delhi NCR ","₹1,500per plate",400-1500,,+2 more
Starland Banquets,5.0,8 reviews,Banquet Hall,"Mayapuri, Delhi NCR ","₹2,000per plate",350-500,,+2 more
Blue Sky Banquets,,,Farmhouse With Banquet,Noida ,"₹1,200per plate",400-1000,1,+3 more
SK Westend,,3 reviews,Banquet Hall,"Janakpuri, Delhi NCR ","₹1,300per plate",120-1200,,+2 more
The Grand Opera Banquet,5.0,7 reviews,Banquet Hall,"Indirapuram, Ghaziabad ","₹1,800per plate",200-250,1,+3 more
Lavanya Grand Mayapuri,,14 reviews,Banquet Hall,"Mayapuri, Delhi NCR ","₹1,800per plate",100-500,,+2 more
Amida Hotel,5.0,2 reviews,Hotel,"Sector 15, Gurgaon ","₹1,000per plate",70-350,38,+3 more
The Grace Banquet,4.9,4 reviews,Banquet Hall,"North Delhi, Delhi NCR ","₹1,400per plate",400-600,,+3 more
Beach View Party Hall,5.0,1 review,Lawn & Banquet Hall,"Palavakkam, Chennai ",₹300per plate,60-300,,+2 more
Reva Hall,5.0,3 reviews,Banquet Hall & Lawn,Chennai ,"₹27,000per function",200-300,5,+5 more
VKM Mahal,,,Banquet Hall,"West Mambalam, Chennai ",Price on Request,400-600,,+2 more
Secret Society Bar,,,Banquet Hall,"Adyar, Chennai ",₹900per plate,40-90,,+2 more
S.A. Marriage Hall,,,Banquet Hall,"Royapettah, Chennai ",₹300per plate,180-300,,+2 more
Om Sakthi Karpagambal Marriage Hall,,,Banquet Hall,Chennai ,₹350per plate,250-400,,+2 more
E V Thirumana Mahal,,,Banquet Hall,"Kodungaiyur, Chennai ",₹600per plate,200-300,,+2 more
Feathers A Radha Hotel,5.0,2 reviews,5 Star Hotel,Chennai ,"₹1,400per plate",40-700,54,+3 more
Vaibhavam Lawns,5.0,1 review,Wedding Lawn,"Uthandi, Chennai ",₹600per plate,250-400,,+2 more
Dhanalakshmi Mahal,5.0,1 review,Convention Hall,"Redhills, Chennai ",₹450per plate,1300-2000,,+2 more
SGT Thirumana Mandapam,,,Kalyana Mandapam,"Vadapalani, Chennai ",₹300per plate,100-150,,+2 more
Shri Padmavathi Mahal,,,Banquet Hall,"Saligramam, Chennai ",₹300per plate,250-400,,+2 more
Chennai Mahal,,,Banquet Hall,"Kodungaiyur, Chennai ",₹300per plate,300-450,,+2 more
Holiday Inn Express Chennai Omr Thoraipakkam,5.0,1 review,Hotel,"Thoraipakkam, Chennai ","₹1,000per plate",180-300,24,+3 more
Deepam Hall,,,Banquet Hall,"Perambur, Chennai ",₹300per plate,240-400,,+2 more
Rajeshwari Navaraj Mahal A/C,,,Banquet Hall,"Ambattur, Chennai ",Price on Request,500-750,5,+3 more
Premalakshmi Hall,,,Banquet Hall,"Iyyappanthangal, Chennai ",₹300per plate,300-500,,+2 more
Cine City Hotels,,,Small Function Hall,"Kodambakkam, Chennai ",₹300per plate,70-100,12,+3 more
Manthra Marriage Halls,,,Banquet Hall,"Alwarpet, Chennai ",₹250per plate,300-500,,+2 more
Sivasakthi Mini Hall,,,Banquet Hall,"Madipakkam, Chennai ",₹250per plate,150-250,,+2 more
TeAmo Restaurant & Banquet,,2 reviews,Banquet Hall,Pune ,Price on Request,50-120,,+2 more
Miwa Banquets,,,Banquet Hall & Lawn,Pimpri Chinchwad ,₹999per plate,100-350,2,+3 more
Atlantis,5.0,1 review,Banquet Hall,"Wanowrie, Pune ",₹700per plate,80-100,,+3 more
Royal Pingara Resort,,,Banquet Hall,Pune ,"₹40,000per function",50-120,12,+4 more
Lake Panorama Stays,,,Wedding Lawn,Pune ,"₹1,200per plate",300-350,17,+3 more
Platinum Square,,,Wedding Lawn,"Viman Nagar, Pune ",Price on Request,250-300,6,+3 more
Rajyog Lawns and Banquets,,,Banquet Hall & Lawn,Pune ,₹699per plate,400-1100,8,+4 more
Abhiruchi Gokul Restaurant,,,Party Restaurant / Lounge,"Narhe, Pune ",Price on Request,120-200,,+2 more
"Hotel Gandharv Residency, Shivajinagar, Pune",,,Hotel,"Hadapsar, Pune ",₹550per plate,50-150,30,+3 more
Hotel Jay Shree Executive,,,Banquet Hall,Pune ,₹850per plate,150-250,20,+3 more
Nitya Eco Family Resort & Farmhouse,,,Resort,Pune ,Price on Request,50-100,30,+3 more
Foyer Banquets,,,Banquet Hall,"Camp, Pune ",₹800per plate,60-100,,+2 more
Swastik Party Hall,,,Lawn & Banquet Hall,Pune ,₹600per plate,150-700,10,+3 more
Spice Fusion,,,Banquet Hall,Pune ,₹400per plate,150-250,29,+3 more
Toyam By Orchid Hotels,,,Banquet Hall & Lawn,Pune ,"₹1,599per plate",50-150,21,+3 more
Zambre Palace,4.7,7 reviews,Banquet Hall,Pune ,₹350per plate,480-800,,+2 more
Hotel Satish Executive,,,Hotel,"Chinchwad, Pimpri Chinchwad ",₹500per plate,70-250,39,+3 more
Chhavani Heritage,,,Lawn & Banquet Hall,Pune ,₹300per plate,150-300,17,+4 more
Avismara Celebrations - Banquets & Events,5.0,1 review,Banquet Hall,Pune ,Price on Request,100-850,,+2 more
Regenta SG’S GreenOtel,,4 reviews,4 Star Hotel,Lonavala ,"₹1,500per plate",120-600,80,+3 more
Hotel Krishna Palace,5.0,2 reviews,Banquet Hall & Lawn,Lucknow ,₹600per plate,300-1500,24,+3 more
Thakur Utsav Lawn and Guest House,,,Wedding Lawn,Lucknow ,₹600per plate,500-800,,+2 more
Friendli'z Restaurant & Banquet,,,Banquet Hall,"Aliganj, Lucknow ",Price on Request,200-250,,+2 more
Hotel SS Grand,,7 reviews,Hotel,Lucknow ,₹600per plate,60-300,60,+3 more
Royal'z Pepper Restaurant & Banquet,,,Banquet Hall,"Aliganj, Lucknow ",Price on Request,250-300,,+2 more
Millennium Club & Resort,,3 reviews,Lawn & Banquet Hall,"Gomti Nagar, Lucknow ",₹900per plate,150-3000,,+2 more
Elite Guest House,,,Banquet Hall & Lawn,"Gomti Nagar, Lucknow ",Price on Request,80-100,,+2 more
Eldeco City Club House,,,Wedding Lawn,Lucknow ,₹550per plate,200-300,,+2 more
Kalyan Mandap Marriage Hall,,,Wedding Lawn,Lucknow ,₹600per plate,380-600,,+2 more
Green Paradise Lawn,,,Wedding Lawn,Lucknow ,"₹50,000per function",1200-2000,4,+4 more
Utsav Lawn,,,Lawn & Banquet Hall,"LDA Colony, Lucknow ",₹650per plate,100-600,3,+4 more
Hotel Dileep,,,Hotel,Lucknow ,₹600per plate,100-125,40,+3 more
Manglam Guest House,,,Lawn & Banquet Hall,"Gomti Nagar, Lucknow ","₹2,00,000per function",250-900,11,+4 more
F.A. Farms,,,Wedding Lawn,"Jankipuram, Lucknow ",₹500per plate,400-600,,+2 more
Shri Shiv Kripa Marriage Lawn,,,Lawn & Banquet Hall,"Alambagh, Lucknow ",₹300per plate,360-1000,,+2 more
The Villagio Farm House & Resort,,,Farmhouse,Lucknow ,Price on Request,200-400,,+2 more
Taj Mahal Lucknow,5.0,11 reviews,5 Star Hotel,"Gomti Nagar, Lucknow ","₹4,500per plate",220-300,100,+3 more
Goodluck Lawn,,,Wedding Lawn,"Rajajipuram, Lucknow ","₹40,000per function",150-250,,+3 more
Rainbow Garden,,,Wedding Lawn,Lucknow ,₹550per plate,400-600,11,+3 more
Kohinoor Palace Marriage Hall,,,Fort / Palace Hotel,Lucknow ,₹400per plate,325-550,,+2 more
Hotel Levishta,,,Lawn & Banquet Hall,Jaipur ,Price on Request,100-250,15,+3 more
The Litchi Restaurant and Lawn,,,Lawn & Banquet Hall,"Sanganer, Jaipur ",₹300per plate,60-1000,,+2 more
Hotel Grand Capitol,,,Hotel,Jaipur ,₹800per plate,30-50,47,+3 more
Hotel Galaxy Inn,,,Banquet Hall,Jaipur ,₹700per plate,400-600,23,+3 more
New Ganpati Garden,,,Wedding Lawn,"Sanganer, Jaipur ",₹450per plate,400-600,,+2 more
Abhinandan Garden,,1 review,Lawn & Banquet Hall,Jaipur ,₹400per plate,150-2000,,+2 more
Tamra Garden,,1 review,Wedding Lawn,"Durgapura, Jaipur ",₹600per plate,2000-3000,,+2 more
Hotel Gitanjali,,,Banquet Hall,"Sitapura, Jaipur ",₹350per plate,70-400,28,+3 more
Hotel Muskan Palace,,,Fort / Palace Hotel,"Bani Park, Jaipur ",₹400per plate,180-250,47,+3 more
Souvenir Premier,,2 reviews,Hotel,"New Sanganer Road Mansarover, Jaipur ",₹850per plate,300-500,80,+3 more
Gold Star Paradise,,,Lawn & Banquet Hall,"Niwaru Road, Jaipur ",₹600per plate,150-1000,,+2 more
Anand Van,4.7,3 reviews,Lawn & Banquet Hall,"Kanakpura, Jaipur ","₹1,000per plate",750-1800,,+2 more
Evergreen Palace,,,Lawn & Banquet Hall,"Sanganer, Jaipur ",₹450per plate,80-1500,,+2 more
Hotel Indiana Pride,,,Hotel,"Lal Kothi, Jaipur ",₹850per plate,100-250,40,+3 more
Man Mandir Marriage Garden,,,Wedding Lawn,"Gandhi Path, Jaipur ",₹400per plate,750-1000,,+2 more
The Bayan Elegance,,,Wedding Lawn,Jaipur ,₹600per plate,50-70,18,+3 more
Raj Chidiya Hotel & Resort,,,Lawn & Banquet Hall,Jaipur ,₹350per plate,50-750,,+2 more
Matru Bagh,,,Wedding Lawn,Jaipur ,Price on Request,900-1500,,+2 more
Kumar's Govindam,,,Lawn & Banquet Hall,Jaipur ,₹800per plate,250-3000,,+2 more
Priti Paradise,,1 review,Wedding Lawn,"Jamdoli, Jaipur ",₹400per plate,750-1000,,+2 more
Hotel Silverline,5.0,1 review,Banquet Hall,Gurgaon ,Price on Request,120-150,25,+3 more
The Grandz Banquet - A Unit of A/S Hospitality,5.0,1 review,Banquet Hall,Delhi NCR ,"₹1,200per plate",250-600,,+2 more
Zafferano,4.6,5 reviews,Banquet Hall,"Naraina, Delhi NCR ","₹1,200per plate",200-400,,+2 more
Gulmohar Grand,,3 reviews,Farmhouse,"Vasundhara, Ghaziabad ","₹1,200per plate",400-1000,,+2 more
Junction 36,,1 review,Banquet Hall,"Karol Bagh, Delhi NCR ",₹700per plate,500-600,,+2 more
Hotel Rousha Inn,5.0,1 review,Hotel,"Kaushambi, Delhi NCR ","₹1,100per plate",40-120,36,+3 more
Panchwati Farms,5.0,1 review,Farmhouse,"Indirapuram, Ghaziabad ","₹1,200per plate",500-1200,,+2 more
Platinum Crown Marriage Party Hall & Banquet,,1 review,Banquet Hall & Lawn,Ghaziabad ,"₹2,000per plate",500-2500,4,+3 more
Go Bravo Grandeur Gurgaon,5.0,1 review,Banquet Hall & Lawn,Gurgaon ,"₹1,200per plate",400-2000,2,+3 more
Satyam Farms,,5 reviews,Farmhouse,"Indirapuram, Ghaziabad ","₹1,750per plate",700-1500,,+2 more
Chandelier by Sandoz,,2 reviews,Banquet Hall,"Kirti Nagar, Delhi NCR ",₹900per plate,250-500,,+2 more
The Blue Moon Banquet,,4 reviews,4 Star Hotel,"Noida, Greater Noida ","₹2,500per plate",250-1200,12,+3 more
Hotel Abhinandan,,1 review,Banquet Hall,"New Industrial Town, Faridabad ",₹800per plate,150-250,20,+3 more
Hotel City Park Gurgaon,4.8,3 reviews,Hotel,"NH8, Delhi NCR ","₹1,700per plate",350-1000,39,+3 more
Hotel RR Galaxy Gurugram,5.0,2 reviews,Hotel,Gurgaon ,"₹1,350per plate",90-350,32,+3 more
Vaani Banquets,,1 review,Banquet Hall,Delhi NCR ,₹500per plate,300-600,3,+3 more
RD's Fiesta,,2 reviews,Banquet Hall,"Najafgarh Road, Delhi NCR ","₹1,000per plate",150-300,,+2 more
Mist Banquet by Hotel AOI MIZU,,,Hotel,"Sector 15, Gurgaon ","₹1,000per plate",100-200,30,+3 more
DLF Club 5,,13 reviews,Banquet Hall & Lawn,"Sushant Lok, Gurgaon ","₹3,000per plate",150-650,,+2 more
The Golden Palms Hotel & Spa,,3 reviews,Hotel,"Central Delhi, Delhi NCR ","₹1,800per plate",100-275,50,+3 more
Asthika Samaja Marriage Hall,,,Banquet Hall,"Alwarpet, Chennai ",₹250per plate,450-750,,+2 more
Faiz Mahal,5.0,1 review,Convention Hall,"Egmore, Chennai ",₹300per plate,1000-1500,,+2 more
SPC Thirumana Maaligai,,,Banquet Hall,"Padi, Chennai ",₹200per plate,600-900,,+2 more
Candy Kidz Party Hall,,,Banquet Hall,Chennai ,Price on Request,90-150,,+2 more
Crown Hall Periyar Nagar,,,Banquet Hall,Chennai ,"₹30,000per plate",100-150,1,+4 more
West View Party Hall,,,Banquet Hall & Lawn,"Perambur, Chennai ",₹300per plate,200-300,,+2 more
Annai Arul Thirumana Maaligai,,,Banquet Hall,"Selaiyur, Chennai ",₹350per plate,400-600,11,+3 more
Sky Palace,,,Banquet Hall,"Vyasarpadi, Chennai ",₹350per plate,450-750,,+2 more
Hyatt Regency Chennai,5.0,21 reviews,5 Star Hotel,"Teynampet, Chennai ","₹3,500per plate",30-1000,325,+3 more
Thendral Gardens,,,Banquet Hall & Lawn,Chennai ,₹450per plate,300-500,3,+3 more
Ranjith Party Hall,,,Banquet Hall,Chennai ,Price on Request,200-300,,+2 more
Hotel Park Plaza Chennai,,2 reviews,Banquet Hall,Chennai ,"₹1,000per plate",240-400,,+2 more
Selvarani Kalyana Mandapam,,,Kalyana Mandapam,Chennai ,₹400per plate,150-200,,+2 more
Mullai Mahal,,,Banquet Hall,"Avadi, Avadi ",₹300per plate,450-750,,+2 more
Sri Varalakshmi Mahal,5.0,1 review,Banquet Hall,"Medavakkam, Chennai ",₹300per plate,600-900,,+2 more
Aruna Chettinad Mahal,,,Banquet Hall,"Velachery, Chennai ","₹25,000per function",400-550,,+3 more
Thillai Deena Party Hall,,,Banquet Hall,"Nanganallur, Chennai ",₹350per plate,150-250,,+2 more
V Five Hotel,,,Hotel,Chennai ,₹800per plate,50-700,56,+3 more
Ashwini Party Hall,,,Banquet Hall,"West Mambalam, Chennai ",₹250per plate,80-150,,+2 more
S R K Mahal,,,Banquet Hall,"Madipakkam, Chennai ",₹300per plate,500-750,,+2 more
Eshi Resorts and Restaurant,,,Hotel,Pune ,₹750per plate,600-700,12,+3 more
Vanmala Mangal Karyalay,,,Banquet Hall,Pune ,₹500per plate,180-210,,+3 more
Diwatel Grande Resort By NXSTAY,,,Resort,Lonavala ,"₹2,000per plate",500-1000,47,+4 more
Chorghe Lawns,,,Wedding Lawn,Pune ,Price on Request,400-800,2,+3 more
"Aroh Garden Mangal Karyalay, Katraj",,,Wedding Lawn,"Ambegaon, Pune ",₹500per plate,2000-3000,8,+3 more
"Hotel Shreyas, Shivajinagar",,2 reviews,Hotel,"Shivajinagar, Pune ",₹400per plate,50-400,48,+3 more
Le Royce Hotel,,,Hotel,"Bund Garden Road, Pune ",₹595per plate,120-200,30,+3 more
Treasure Island Resort,4.8,6 reviews,Lawn & Banquet Hall,Lonavala ,"₹2,000per plate",150-500,,+2 more
Anantha Residency,,,Banquet Hall,Pune ,Price on Request,200-300,20,+3 more
"Ambar Mangal Karyalay, Kothrud",5.0,1 review,Banquet Hall,"Kothrud, Pune ",₹300per plate,450-600,,+2 more
Vantage Point Hotel & Resorts,5.0,1 review,Hotel with Banquet & Lawn,Lonavala ,₹650per plate,220-450,30,+4 more
Oxygen Restaurant And Banquet Bar,5.0,2 reviews,Banquet Hall & Lawn,Pune ,₹420per plate,350-500,2,+3 more
Gharkul Lawns,5.0,3 reviews,Large Lawn & Banquet,"Erandwane, Pune ",₹850per plate,600-1500,6,+3 more
Apeksha Lawns,,,Wedding Lawn,Pune ,₹500per plate,400-500,,+2 more
Blue Berri Family Restaurant,,,Wedding Lawn,"Hadapsar, Pune ",₹350per plate,150-200,,+2 more
Lifeline Villas,,,Wedding Lawn,Pimpri Chinchwad ,₹500per plate,300-450,12,+3 more
Shubharambh Banquet Hall,4.5,2 reviews,Banquet Hall,"Pimple Saudagar, Pune ",Price on Request,150-200,,+2 more
Grand Hotel,,,Wedding Lawn,Pune ,"₹1,000per plate",140-350,10,+3 more
Open Air Pune,,,Banquet Hall,Pune ,₹550per plate,350-500,2,+3 more
"Royal Park, D P Road",5.0,1 review,Wedding Lawn,Pune ,₹350per plate,200-350,,+2 more
Kala Kothi Wedding Lawns and Resorts,,,Wedding Lawn,Lucknow ,"₹80,000per function",800-1500,,+3 more
Hotel Vaibhav Inn,,,Hotel,"Gomti Nagar, Lucknow ",₹700per plate,150-300,35,+3 more
Mansha Palace,,,Banquet Hall,"Vrindavan Colony, Lucknow ",₹600per plate,240-600,,+2 more
Vishwanatham Banquet Hall,,,Wedding Lawn,Lucknow ,Price on Request,800-1000,,+2 more
Maa Maa Paradise Inn,,,Hotel,Lucknow ,₹750per plate,300-400,24,+3 more
Moments Marriage Lawn,,,Lawn & Banquet Hall,"Indira Nagar, Lucknow ",₹500per plate,60-400,,+2 more
Hotel Shekhar,,,Banquet Hall,Lucknow ,₹500per plate,180-300,11,+3 more
Hotel Mohan,,,Hotel,"Charbagh, Lucknow ",₹650per plate,100-200,72,+3 more
Hotel Charans Plaza,,4 reviews,Hotel,"Hazratganj, Lucknow ",₹800per plate,70-250,32,+3 more
Shahnai Guest House,,,Banquet Hall,"Vikas Nagar, Lucknow ",Price on Request,100-350,,+2 more
Nikah Ghar,,,Lawn & Banquet Hall,Lucknow ,₹500per plate,180-600,,+2 more
Shakuntala Marriage Hall,,,Banquet Hall,Lucknow ,₹450per plate,250-350,,+2 more
Star Rooms,,,Hotel,"Vikas Nagar, Lucknow ",₹450per plate,100-350,30,+3 more
Aarambh Lawns,,,Lawn & Banquet Hall,Lucknow ,Price on Request,250-5000,,+2 more
Hotel Saubhagyam Residency,5.0,9 reviews,Banquet Hall,"Gomti Nagar, Lucknow ",₹650per plate,125-150,17,+3 more
Nakshatra Lawn,,5 reviews,Lawn & Banquet Hall,"Gomti Nagar, Lucknow ",₹900per plate,250-1200,,+2 more
Badri Marriage Lawn,,,Wedding Lawn,"Fazullaganj, Lucknow ","₹25,000per function",400-600,,+3 more
Sharad Vatika,5.0,4 reviews,Banquet Hall & Lawn,Lucknow ,₹690per plate,300-500,8,+4 more
MD Palace,,,Banquet Hall,"Jankipuram, Lucknow ",₹800per plate,400-600,15,+3 more
Shehnai Guest House,,,Banquet Hall,"Vikas Nagar, Lucknow ",₹650per plate,240-400,,+2 more
Saba Haveli,,,Wedding Lawn,Jaipur ,"₹1,200per plate",50-650,10,+3 more
Heaven's Garden,,1 review,Resort,Jaipur ,"₹1,300per plate",300-3000,25,+3 more
Hotel Raj Laxmi Palace,,,Banquet Hall & Lawn,"Sanganer, Jaipur ",₹300per plate,360-600,12,+3 more
Vishwakarma Hotel and Restaurant,,,Lawn & Banquet Hall,Jaipur ,Price on Request,200-800,10,+3 more
Rukman Hotels Jaipur,,,Hotel,Jaipur ,₹600per plate,70-80,23,+3 more
Hotel Trilok Palace,,,Fort / Palace Hotel,"Bani Park, Jaipur ",Price on Request,180-300,42,+3 more
Hotel Fleur Jaipur,,,Banquet Hall,Jaipur ,"₹1,000per plate",50-100,18,+4 more
Janpath Guest House,,,Banquet Hall & Lawn,Jaipur ,Price on Request,50-70,,+2 more
Shree Nikhil Paradise,,,Wedding Lawn,"Mansarovar, Jaipur ",₹400per plate,1200-2000,,+2 more
Hotel Ashok Palace,,,Small Function Hall,"Amer Road, Jaipur ",₹300per plate,70-100,20,+3 more
Royal Rajwada Multicuisine Restaurant,,,Banquet Hall,"Amer Road, Jaipur ",₹300per plate,150-300,,+2 more
Paras Paradise Garden,,,Wedding Lawn,"Gopalpura, Jaipur ","₹45,000per function",850-1200,,+3 more
Hotel Sumaditya,,,Banquet Hall,"Vidhyadhar Nagar, Jaipur ",₹600per plate,180-300,11,+3 more
Hotel Raj Sarai,,,Hotel,Jaipur ,"₹1,150per plate",200-300,20,+3 more
